# Title: pabus-social-blocker.txt
# Created with ChatGPT
# Initial Release: 06-Jan-2024
# Last Update: 2024-01-06 20:24
# Notice: This list is used to remove distractions in my Network for my own good 😅
###############################################################################################

## TikTok
0.0.0.0 tiktok.com
0.0.0.0 byteoversea.com
0.0.0.0 muscdn.com
0.0.0.0 musical.ly
0.0.0.0 tiktokcdn.com

## Instagram
0.0.0.0 instagram.com
0.0.0.0 cdninstagram.com
0.0.0.0 fbcdn.net
0.0.0.0 cdn.fb.com
0.0.0.0 ig.me

## Snapchat
0.0.0.0 snapchat.com
0.0.0.0 snapcdn.com
0.0.0.0 sc-cdn.net

## YouTube
0.0.0.0 googlevideo.com
0.0.0.0 youtube.com
0.0.0.0 ytimg.com
